Data;3698 - Taxa de câmbio - Livre - Dólar americano (venda) - Média de período - mensal - u.m.c./US$
01/01/2022;5,5341
01/02/2022;5,1966
01/03/2022;4,9684
01/04/2022;4,758
01/05/2022;4,9551
01/06/2022;5,0492
01/07/2022;5,3681
01/08/2022;5,1433
01/09/2022;5,237
01/10/2022;5,2503
01/11/2022;5,2747
01/12/2022;5,2424
01/01/2023;5,2007
01/02/2023;5,1717
01/03/2023;5,2115
01/04/2023;5,0197
01/05/2023;4,9828
01/06/2023;4,8516
01/07/2023;4,8008
01/08/2023;4,9035
01/09/2023;4,937
01/10/2023;5,0648
01/11/2023;4,8983
01/12/2023;4,8972
01/01/2024;4,9144
01/02/2024;4,9644
01/03/2024;4,9801
01/04/2024;5,1291
01/05/2024;5,133
01/06/2024;5,389
01/07/2024;5,542
01/08/2024;5,5526
01/09/2024;5,5416
01/10/2024;5,6241
01/11/2024;5,8071
01/12/2024;6,097
01/01/2025;6,0218
01/02/2025;5,7656
01/03/2025;5,7468
01/04/2025;5,7837
01/05/2025;5,6674
01/06/2025;5,5471
01/07/2025;5,5285
01/08/2025;5,4469
